x,y,layer1,layer2,voltage1,voltage2,current
5530.34,2194.07,LAYER_2,BOTTOM_LAYER,0.00133526,0.00133526,-0
5530.34,2335.8,TOP_LAYER,LAYER_1,0.00133179,0.00133176,0.000164871
5530.34,2335.8,LAYER_1,LAYER_2,0.00133176,0.00133163,0.000164871
5530.34,2335.8,LAYER_2,BOTTOM_LAYER,0.00133163,0.00133163,-0
5530.34,2477.53,TOP_LAYER,LAYER_1,0.00132911,0.00132909,0.000140879
5530.34,2477.53,LAYER_1,LAYER_2,0.00132909,0.00132898,0.000140879
5530.34,2477.53,LAYER_2,BOTTOM_LAYER,0.00132898,0.00132898,-0
5565.77,1839.73,TOP_LAYER,LAYER_1,0.00134512,0.00134512,-0
5565.77,1839.73,LAYER_1,LAYER_2,0.00134512,0.00134512,-7.97861e-16
5565.77,1839.73,LAYER_2,BOTTOM_LAYER,0.00134512,0.00134512,-0
5565.77,2264.93,TOP_LAYER,LAYER_1,0.00133206,0.00133221,-0.000998108
5565.77,2264.93,LAYER_1,LAYER_2,0.00133221,0.00133302,-0.000998108
5565.77,2264.93,LAYER_2,BOTTOM_LAYER,0.00133302,0.00133302,-0
5565.77,2406.66,TOP_LAYER,LAYER_1,0.00133006,0.00133006,2.41433e-05
5565.77,2406.66,LAYER_1,LAYER_2,0.00133006,0.00133004,2.41433e-05
5565.77,2406.66,LAYER_2,BOTTOM_LAYER,0.00133004,0.00133004,-0
5565.77,2548.4,TOP_LAYER,LAYER_1,0.00132696,0.00132693,0.000179298
5565.77,2548.4,LAYER_1,LAYER_2,0.00132693,0.00132678,0.000179298
5565.77,2548.4,LAYER_2,BOTTOM_LAYER,0.00132678,0.00132678,-0
5601.21,1910.6,TOP_LAYER,LAYER_1,0.00134104,0.00134104,-1.45856e-15
5601.21,1910.6,LAYER_1,LAYER_2,0.00134104,0.00134104,-5.31907e-16
5601.21,1910.6,LAYER_2,BOTTOM_LAYER,0.00134104,0.00134104,-0
5601.21,2194.07,TOP_LAYER,LAYER_1,0.00133239,0.00133275,-0.00242029
5601.21,2194.07,LAYER_1,LAYER_2,0.00133275,0.00133472,-0.00242029
5601.21,2194.07,LAYER_2,BOTTOM_LAYER,0.00133472,0.00133472,-0
5601.21,2335.8,TOP_LAYER,LAYER_1,0.00133094,0.00133093,4.82059e-05
5601.21,2335.8,LAYER_1,LAYER_2,0.00133093,0.00133089,4.82059e-05
5601.21,2335.8,LAYER_2,BOTTOM_LAYER,0.00133089,0.00133089,2.91711e-15
5601.21,2477.53,TOP_LAYER,LAYER_1,0.00132758,0.00132746,0.00081049
5601.21,2477.53,LAYER_1,LAYER_2,0.00132746,0.0013268,0.00081049
5601.21,2477.53,LAYER_2,BOTTOM_LAYER,0.0013268,0.0013268,-0
5636.64,1839.73,TOP_LAYER,LAYER_1,0.0013372,0.0013372,-0
5636.64,1839.73,LAYER_1,LAYER_2,0.0013372,0.0013372,-7.97861e-16
5636.64,1839.73,LAYER_2,BOTTOM_LAYER,0.0013372,0.0013372,-0
5636.64,2548.4,TOP_LAYER,LAYER_1,0.00132397,0.00132395,0.000182015
