x,y,layer1,layer2,voltage1,voltage2,current
5530.34,2335.8,LAYER_2,BOTTOM_LAYER,0.00123382,0.00123317,0.00437213
5530.34,2477.53,TOP_LAYER,LAYER_1,0.00123611,0.00123574,0.00249742
5530.34,2477.53,LAYER_1,LAYER_2,0.00123574,0.00123244,0.00404405
5530.34,2477.53,LAYER_2,BOTTOM_LAYER,0.00123244,0.00123215,0.00195608
5565.77,1839.73,TOP_LAYER,LAYER_1,0.0011355,0.0011355,-1.45856e-15
5565.77,1839.73,LAYER_1,LAYER_2,0.0011355,0.001134,0.00183114
5565.77,1839.73,LAYER_2,BOTTOM_LAYER,0.001134,0.00113426,-0.00171125
5565.77,1981.47,TOP_LAYER,LAYER_1,0.00118018,0.00118018,-0
5565.77,1981.47,LAYER_1,LAYER_2,0.00118018,0.00117407,0.00749312
5565.77,1981.47,LAYER_2,BOTTOM_LAYER,0.00117407,0.00117479,-0.00483758
5565.77,2264.93,TOP_LAYER,LAYER_1,0.00125706,0.0012535,0.0239524
5565.77,2264.93,LAYER_1,LAYER_2,0.0012535,0.00123389,0.0240432
5565.77,2264.93,LAYER_2,BOTTOM_LAYER,0.00123389,0.00123318,0.004793
5565.77,2406.66,TOP_LAYER,LAYER_1,0.00124617,0.00124497,0.00803012
5565.77,2406.66,LAYER_1,LAYER_2,0.00124497,0.00123603,0.0109709
5565.77,2406.66,LAYER_2,BOTTOM_LAYER,0.00123603,0.00123542,0.0041169
5565.77,2548.4,TOP_LAYER,LAYER_1,0.00123403,0.0012338,0.00157659
5565.77,2548.4,LAYER_1,LAYER_2,0.0012338,0.00123139,0.00295051
5565.77,2548.4,LAYER_2,BOTTOM_LAYER,0.00123139,0.00123117,0.00146856
5601.21,1910.6,TOP_LAYER,LAYER_1,0.00115409,0.00115409,-0
5601.21,1910.6,LAYER_1,LAYER_2,0.00115409,0.00115156,0.00310883
5601.21,1910.6,LAYER_2,BOTTOM_LAYER,0.00115156,0.00115223,-0.00454387
5601.21,2194.07,TOP_LAYER,LAYER_1,0.00128288,0.00126809,0.099495
5601.21,2194.07,LAYER_1,LAYER_2,0.00126809,0.00122909,0.0478294
5601.21,2194.07,LAYER_2,BOTTOM_LAYER,0.00122909,0.00122906,0.000203326
5601.21,2335.8,TOP_LAYER,LAYER_1,0.00126456,0.00125864,0.0397844
5601.21,2335.8,LAYER_1,LAYER_2,0.00125864,0.00123913,0.0239308
5601.21,2335.8,LAYER_2,BOTTOM_LAYER,0.00123913,0.00123852,0.00409681
5601.21,2477.53,TOP_LAYER,LAYER_1,0.00124031,0.00123957,0.00495046
5601.21,2477.53,LAYER_1,LAYER_2,0.00123957,0.00123391,0.00694592
5601.21,2477.53,LAYER_2,BOTTOM_LAYER,0.00123391,0.00123357,0.00229266
5636.64,1839.73,TOP_LAYER,LAYER_1,0.00112658,0.00112658,-2.91711e-15
5636.64,1839.73,LAYER_1,LAYER_2,0.00112658,0.00112509,0.00182511
5636.64,1839.73,LAYER_2,BOTTOM_LAYER,0.00112509,0.00112703,-0.0130917
5636.64,1981.47,TOP_LAYER,LAYER_1,0.00118117,0.00118117,-0
5636.64,1981.47,LAYER_1,LAYER_2,0.00118117,0.00117116,0.0122785
5636.64,1981.47,LAYER_2,BOTTOM_LAYER,0.00117116,0.00117497,-0.0256467
5636.64,2548.4,TOP_LAYER,LAYER_1,0.00123336,0.00123331,0.000333812
5636.64,2548.4,LAYER_1,LAYER_2,0.00123331,0.00123059,0.00333199
5636.64,2548.4,LAYER_2,BOTTOM_LAYER,0.00123059,0.00123037,0.00145694
5672.07,1910.6,TOP_LAYER,LAYER_1,0.0011481,0.0011481,-0
5672.07,1910.6,LAYER_1,LAYER_2,0.0011481,0.00114516,0.0036003
5672.07,1910.6,LAYER_2,BOTTOM_LAYER,0.00114516,0.00114921,-0.0272228
5673.06,2412.57,TOP_LAYER,LAYER_1,11.9509,11.9509,-0
5673.06,2412.57,LAYER_1,LAYER_2,11.9509,11.9509,2.17869e-12
5673.06,2412.57,LAYER_2,BOTTOM_LAYER,11.9509,11.9509,-0
5707.5,2548.4,TOP_LAYER,LAYER_1,0.00122902,0.00122935,-0.00219336
5707.5,2548.4,LAYER_1,LAYER_2,0.00122935,0.00122723,0.00259444
5707.5,2548.4,LAYER_2,BOTTOM_LAYER,0.00122723,0.00122703,0.00136796
5719.32,2218.67,TOP_LAYER,LAYER_1,0.00140377,0.00135834,0.30559
5719.32,2218.67,LAYER_1,LAYER_2,0.00135834,0.00128799,0.0862862
5719.32,2218.67,LAYER_2,BOTTOM_LAYER,0.00128799,0.00127645,0.0776223
5734.08,1939.15,TOP_LAYER,LAYER_1,11.7661,11.7661,1.19485e-11
5734.08,1939.15,LAYER_1,LAYER_2,11.7661,11.7661,1.08935e-11
5734.08,1939.15,LAYER_2,BOTTOM_LAYER,11.7661,11.7661,1.19485e-11
5735.07,1968.67,TOP_LAYER,LAYER_1,11.7661,11.7661,-0
5735.07,1968.67,LAYER_1,LAYER_2,11.7661,11.7661,-2.17869e-12
5735.07,1968.67,LAYER_2,BOTTOM_LAYER,11.7661,11.7661,-0
5737.04,1765.67,TOP_LAYER,LAYER_1,11.766,11.766,0.00581189
5737.04,1765.67,LAYER_1,LAYER_2,11.766,11.766,0.00581189
5737.04,1765.67,LAYER_2,BOTTOM_LAYER,11.766,11.766,0.00581189
5742.94,2194.07,TOP_LAYER,LAYER_1,0.00139519,0.00135138,0.294699
5742.94,2194.07,LAYER_1,LAYER_2,0.00135138,0.00128833,0.0773307
5742.94,2194.07,LAYER_2,BOTTOM_LAYER,0.00128833,0.00127661,0.0788072
5756.72,2218.67,TOP_LAYER,LAYER_1,0.00139519,0.00135973,0.238515
5756.72,2218.67,LAYER_1,LAYER_2,0.00135973,0.0012897,0.0858974
5756.72,2218.67,LAYER_2,BOTTOM_LAYER,0.0012897,0.00128139,0.0558826
5759.67,1746.97,TOP_LAYER,LAYER_1,11.766,11.766,0.0049192
5759.67,1746.97,LAYER_1,LAYER_2,11.766,11.766,0.0049192
5759.67,1746.97,LAYER_2,BOTTOM_LAYER,11.766,11.766,0.0049192
5778.37,1414.54,TOP_LAYER,LAYER_1,0.00102823,0.0010336,-0.0361241
